 City,Time,Polity,Region,Population (low),Population (high),Population,Area (ha),log N,log A,Density,Sources
Jiankang,313-589 CE,Eastern Jin/Southern Dynasties China,China,500000,825000,662500,2387,5.821185883,3.377852419,278,"Chittick, Andrew. 2020. The Jiankang Empire in Chinese and World History. New York: Oxford University Press: 360 (N); Steinhardt, Nancy Shatzman. 1999. Chinese Imperial City Planning. Honolulu: University of Hawaii Press: 190-1 note 3: (A, square layout with walls of perimeter 47 li * .4158 km/li [https://en.wikipedia.org/wiki/Li_(unit)] = 19.54 km; (19.54/4)^2 = 23.87 km sq)."
Kaifeng,976-1103 CE,Northern Song,China,890000,1300000,1095000,8400,6.039414119,3.924279286,130,"Kuhn, Dieter. 2011. The Age of Confucian Rule: The Song Transformation of China. Cambridge: Harvard University Press. p. 195."
Knossos,1450-1300 BCE,Minoan Crete,Mediterranean,14000,18000,16000,70,4.204119983,1.84509804,229,"Whitelaw, Todd. 2004. “Estimating the Population of Neopalatial Knossos.” In Knossos: Palace, City, State, edited by G. Cadogan, E. Hatzaki, and A. Vasilaki, 147–58. London: British School at Athens Studies."
Kultepe/Kanesh,2050-1500 BCE,Kanesh (Anatolia),Near East,,,25000,170,4.397940009,2.230448921,147,"Barjamovic, Gojko. 2014. “The Size of Kanesh and the Demography of Early Middle Bronze Age Anatolia.” In Current Research at Kültepe/Kanesh: An Interdisciplinary and Integrative Approach to Trade Networks, Internationalism, and Identity, edited by Levent Atici, Fikri Kulakoglu, Andrew Fairbairn, and Gojko Barjamovic, 55–68. Exeter: University of Exeter Press."
Kyoto,794-1185 CE,Heian Japan,China,70000,150000,110000,1196.5,5.041392685,3.077912703,92,"McCullough, William H. 1999. “The Capital and Its Society.” In The Cambridge History of Japan, edited by Donald H. Shively and William H. McCullough, 2:97–182. New York: Cambridge University Press. N: pp. 121-2; A = 9.24 sq. miles = 2393 ha, p. 102;  A = 1/2 planned, pp. 172-3."
Lagash,3000-2600 BCE,Lagash (Early Dynastic I Mesopotamia),Near East,60000,120000,90000,600,4.954242509,2.77815125,150,"McMahon, Augusta, et al. 2023. “Dense Urbanism and Economic Multi-Centrism at Third-Millennium BC Lagash.” Antiquity 97 (393): 596–615."
London I,1000-1100 CE,Norman England,Europe,10000,20000,15000,133,4.176091259,2.123851641,113,"Sheppard, Francis. 1998. London: A History. New York: Oxford University Press, 1998. p. 84 (N=10-20k), p. 37 (A=walled area of Roman Londinium, which had slightly larger population and settled area, see p. 35, Porter, Roy. 1994. London: A Social History. Cambridge: Harvard University Press, 1994. pp. 41-2."
London II,1300-1400 CE,Medieval England,Europe,,,70000,333,4.84509804,2.522444234,210,"Cesaretti, Rudolf, José Lobo, Luís M.A. Bettencourt, Scott G. Ortman, and Michael E. Smith. 2016. “Population-Area Relationship for Medieval European Cities.” PloS One 11:e0162678."
London III,1700-1800 CE,British Empire,Europe,575000,900000,737500,1615,5.867762025,3.208172527,457,"Porter, Roy. 1994. London: A Social History. Cambridge: Harvard University Press, p. 131 (N). Area estimated from 1746 map of London available at https://en.wikipedia.org/wiki/John_Rocque%27s_maps_of_London"
Loyang,25-190 CE,Eastern Han,China,264195,500000,382097.5,1010,5.582174196,3.004321374,378,"Bielenstein, Hans. 1976. “Lo-Yang in Later Han Times.” Bulletin of The Museum of Far Eastern Antiquities, no. 48, 1–142. (https://archive.org/details/bulletin-48/page/20/mode/2up)"
Memphis,2650-2350 BCE,Old Kingdom Egypt,Mediterranean,,,6000,31,3.77815125,1.491361694,194,"Mumford, Gregory D. 2010. “Settlements–Distribution, Structure, Architecture: Pharaonic.” In A Companion to Ancient Egypt, edited by Alan B. Lloyd, 1:326–69. Maldon: Wiley-Blackwell. Table 18.1, p. 331."
Merv,1000-1100 CE,Seljuk Empire,Central Eurasia,150000,200000,175000,1000,5.243038049,3,175,"Peacock, A. C. S. 2015. The Great Seljuk Empire. Edinburgh: Edinburgh University Press, p. 302 (N). Starr, S. Frederick. 2013. Lost Enlightenment: Central Asia’s Golden Age from the Arab Conquest to Tamerlane. Princeton University Press. p. 544 note 13 (N). Williams, Tim, and Kakamurad Kurbansakhatov. 2002. “The Ancient Merv Project, Turkmenistan Preliminary Report on the First Season (2001).” Iran 40 (1): 15–41. p. 15 (A)."
Mojenodaro,2600-1800 BCE,Harrapa,India,,,41250,250,4.615423953,2.397940009,165,"Kenoyer, Jonathan M. 1998. Ancient Cities of the Indus Valley Civilization. New York: Oxford University Press: p. 50."
Monte Alban,400-600 CE,Zapotec,Mesoamerica,15108,30216,22662,650,4.355298235,2.812913357,35,"Blanton, Richard. 1978. Monte Albán: Settlement Patterns at the Ancient Zapotec Capital. New York: Academic Press: Table 4.1 p. 68 (N), p. 44 (A)."
Nanjing,1373 CE,Ming China,China,,,1000000,2600,6,3.414973348,385,"Mote, Frederick W. 1977. “The Transformation of Nanking, 1350-1400.” In The City in Late Imperial China, edited by G. William Skinner, 101–54. Standford, CA: Stanford University Press: 138 (N). A estimated as 10 sq. miles ~ 2600 ha using Mote, Frederick W., and Denis Twitchett, eds. 1998. The Cambridge History of China, Volume 7: The Ming Dynasty, 1368-1644, Part I. New York: Cambridge University Press, Map 3, p. 75."
Ninevah,705-681 BCE,Neo-Assyrian Empire,Near East,70000,120000,95000,750,4.977723605,2.875061263,127,"Frahm, Eckart. 2008. “The Great City: Nineveh in the Age of Sennacherib.” Journal of the Canadian Society for Mesopotamian Studies 3:13–20. (A, N). Liverani, Mario. 2013. The Ancient Near East: History, Society and Economy. New York: Routledge. p. 497. (N)"
Nishapur,1000 CE,Abbasid Caliphate,Central Eurasia,168000,336000,252000,1680,5.401400541,3.225309282,150,"Bulliet, Richard W. 2018. “Why Nishapur?” Eurasian Studies 16 (1–2): 100–123, p. 103"
Palermo,1270 CE,Kingdom of Sicily,Mediterranean,,,50000,200,4.698970004,2.301029996,250,"Bresc, Henri. 2013. “Palermo in the 14th-15th Century: Urban Economy and Trade.” In A Companion to Medieval Palermo: The History of a Mediterranean City from 600 to 1500, edited by Anneliese Nef, 235–68. Boston: Brill. p. 236."
Paris I,600-1200 CE,Merovingian/Carolingian kingdoms,Europe,10000,30000,20000,272,4.301029996,2.434568904,74,"Geary, Patrick J. 1988. Before France and Germany: The Creation and Transformation of the Merovingian World. New York: Oxford University Press, 1988. p. 98 (N). Kibler, William W, Grover A Zinn, Lawrence Earp, and John Henneman, eds. 2013. Medieval France: An Encyclopedia. New York: Routledge, 2013. p. 1316 (N). Bairoch, Paul. 1991. Cities and Economic Development: From the Dawn of History to the Present. Chicago: University of Chicago Press, 1991. p.119 (N = 20-25k , c. 1000). I assume the area enclosed by the Phililp Augustus Wall (finished c. 1200) enclosed all of the possible built-up area at this time, see: Jones, Colin. 2004. Paris: Biography of a City. New York: Allen Lane, 2004. p. 545."
Paris II,1300-1400 CE,Capetian/Valois France,Europe,,,200000,800,5.301029996,2.903089987,250,"Cesaretti, Rudolf, José Lobo, Luís M.A. Bettencourt, Scott G. Ortman, and Michael E. Smith. 2016. “Population-Area Relationship for Medieval European Cities.” PloS One 11:e0162678."
Patilipurtra,600-300 BCE,Mauryan Empire,India,,,400000,2200,5.602059991,3.342422681,182,"Coningham, Robin, and Ruth Young. 2015. The Archaeology of South Asia: From the Indus to Asoka, c. 6500 BCE–200 CE. New York: Cambridge University Press: 419."
Pi-Ramesses,1293-1070 BCE,New Kingdom Egypt - Ramesside Period,Mediterranean,250000,300000,275000,1800,5.439332694,3.255272505,153,"Moreno García, Juan Carlos. 2014. “Invaders or Just Herders? Libyans in Egypt in the Third and Second Millennia BCE.” World Archaeology 46 (4): 610–23, p. 620. Alternate estimates of 100000/350ha are given in Mumford 2010:Table 18.1"
Rome I,600-500 BCE,Roman Kingdom,Mediterranean,25000,40000,32500,285,4.511883361,2.45484486,114,"Cornell, T. J. 1995. The Beginnings of Rome: Italy and Rome from the Bronze Age to the Punic Wars (c. 1000--264 BC). New York: Routledge, 204, 207 (A, N)."
Rome II,400-300 BCE,Roman Republic,Mediterranean,30000,60000,45000,427,4.653212514,2.630427875,105,"Cornell, T. J. 1995. The Beginnings of Rome: Italy and Rome from the Bronze Age to the Punic Wars (c. 1000--264 BC). New York: Routledge, 204 (A). Lomas, Kathryn. 2018. The Rise of Rome: From the Iron Age to the Punic Wars. Cambridge: Harvard University Press, 221 (N)."
Rome III,200-300 CE,Roman Empire,Mediterranean,650000,1000000,825000,1783,5.916453949,3.251151343,463,"Morley, Neville. 2013. “Population Size and Social Structure.” In The Cambridge Companion to Ancient Rome, edited by Paul Erdkamp, 29–44. New York: Cambridge University Press: 33, 42 (N); Hanson, John W, and Scott G Ortman. 2017. “A Systematic Method for Estimating the Populations of Greek and Roman Settlements.” Journal of Roman Archaeology 30:301–24: Table 6 (A). See also map of Imperial Rome in Kulikowski, Michael. 2016. The Triumph of Empire: The Roman World from Hadrian to Constantine. Harvard University Press, p. 69 which yields an estimated (4 x 4.5 km) 1800 ha."
Rome IV,400-450 CE,Western Roman Empire,Mediterranean,300000,700000,500000,1372,5.698970004,3.137354111,364,"Wickham, Chris. 2005. Framing the Early Middle Ages: Europe and the Mediterranean, 400-800. New York: Oxford University Press, 2005. p. 73 (N). Claridge, Amanda. 2010. Rome: An Oxford Archaeological Guide. 2nd ed. New York: Oxford University Press, 2010. p. 61 (A). I assume the entire population was now contained within the Aurelian Walls."
Samarkand,1400-1500 CE,Timirid Empire,Central Eurasia,,,150000,510,5.176091259,2.707570176,294,"Wood, Frances. 2002. The Silk Road: Two Thousand Years in the Heart of Asia. Los Angeles: University of California Press, p. 138 (A). Marozzi, Justin. 2006. Tamerlane: Sword of Islam, Conqueror of the World. Cambridge: Da Capo Press, p. 201 (N)."
Samarra,835-893 CE,Abbasid Caliphate,Near East,,,1000000,6800,6,3.832508913,147,"Adams, Robert McC. 1965. Land behind Baghdad: A History of Settlement on the Diyala Plains. Chicago: University of Chicago Press, 1965. pp. 90 (N), 88 (A).  "
Seleucia,305 BCE,Seleucid Empire,Near East,50000,100000,75000,550,4.875061263,2.740362689,136,"Aperghis, Gerassimos George. 2004. The Seleukid Royal Economy: The Finances and Financial Administration of the Seleukid Empire. New York: Cambridge University Press, pp. 37, 95. Cf. Adams 1965:72 that gives an area of 540."
Taxila-Sirsukh,100-200 CE,Kushan Empire,Central Eurasia,59400,118800,89100,165,4.949877704,2.217483944,540,"Smith, Monica L. 2006. “The Archaeology of South Asian Cities.” Journal of Archaeological Research 14:97–142. p. 121 (A). The nearby contemporaneous settlement of Vichi (26 ha) has a residential density of 36 houses per hectare which was used here with households having 10-20 persons, see Litvinsky, B. A., and Janos Harmatta, eds. 1994. “Cities and Urban Life in the Kushan Kingdom.” In History of Civilizations of Central Asia, Volume II: The Development of Sedentary and Nomadic Civilizations: 700 B.C. to A.D. 250, 289–312. Paris: UNESCO Publishing, pp. 291-4."
Tehran,1861 CE,Qaqar dynasty,Near East,80000,120000,100000,777,5,2.890421019,129,"Bosworth, Clifford E. 2007. “Tehran.” In Historic Cities of the Islamic World, edited by Clifford E. Bosworth, 503–20. Leiden: Brill. p. 508"
Tenochtitlan,1325-1519 CE,Aztec,Mesoamerica,,,212500,1350,5.327358934,3.130333768,157,"Smith, Michael E. 2008. Aztec City-State Capitals. Gainesville: University of Florida Press: 28, Table 2.1; 151-3, Table 6.1."
Teotihuacan,250-550 CE,Teotihuacan,Mesoamerica,26000,140000,83000,1811,4.919078092,3.25791845,46,"Cowgill, George L. 2015. Ancient Teotihuacan: Early Urbanism in Central Mexico. New York: Cambridge University Press: pp. 140-3 (N), 154 (A). "
Thebes,1200-1500 BCE,Middle Kingdom Egypt,Mediterranean,,19000,19000,75,4.278753601,1.875061263,253,"Moeller, Nadine. 2016. The Archaeology of Urbanism in Ancient Egypt: From the Predynastic Period to the End of the Middle Kingdom. New York: Cambridge University Press, p. 305 (A). Population range calculated by assuming 1/2 of the area is residential (see Figure 8.38, p. 303), houses are 100m^2 + 1.5m on either side for streets = 132.25m2 (as are found throughout Middle Kingdom settlements (see pp. 315-16, 347-350), and households = 5 persons."
Tiwanaku,400-600 CE,Tiwanaku,South America,30000,60000,45000,385,4.653212514,2.58546073,117,"Bandy, Matthew S. 2013. “Demographic Dimensions of Tiwanaku Urbanism.” In Advances in Titicaca Basin Archaeology, edited by Alexei Vranich and Abigail R. Levine, 2:79–87. Los Angeles: Cotsen Institute of Archaeology, University of California. (A). Kolata, Alan, and Carlos Ponce Sanginés. 1992. “Tiwanaku: The City at the Center.” In The Ancient Americas: Art from Sacred Landscapes, edited by Richard F. Townsend, 317–34. Munich: The Art Institute of Chicago and Prestel Verlag. (N)"
Tyre,600-800 BCE,Phoenicia (Tyre-Sidon Kingdom),Mediterranean,,,30000,127,4.477121255,2.103803721,236,"Aubet, Maria Eugenia. 2001. The Phoenicians and the West: Politics, Colonies and Trade. 2nd ed. New York: Cambridge University Press: 34."
Ur,2100-2000 BCE,Ur III dynasty,Near East,18000,27000,22500,108,4.352182518,2.033423755,208,"Hammer, Emily, and Angelo Di Michele. 2023. “The Suburbs of the Early Mesopotamian City of Ur (Tell al-Muqayyar, Iraq).” American Journal of Archaeology 127 (4): 449–79. p. 460 (A). Average house size of 100m^2 estimated from Woolley, Leonard, and Max Mallowan. 1976. Ur Excavations, Volume VII: The Old Babylonian Period. London: British Museum Publications Limited. Population is calculated as 33-50% of the settlement is residential area and there are 5 persons per household."
Uruk,3500 BCE,Uruk Mesopotaia,Near East,,,40000,250,4.602059991,2.397940009,160,"Algaze, Guillermo. 2013. “The End of Prehistory and the Uruk Period.” In The Sumerian World, edited by Harriet Crawford. New York: Routledge, p. 74"
Venice,1300 CE,Republic of Venice,Europe,,,120000,700,5.079181246,2.84509804,171,"Lane, Frederic Chapin. 1973. Venice, a Maritime Republic. Baltimore: Johns Hopkins University Press, p. 18 (N). Ferraro, Joanne M. 2012. Venice: History of the Floating City. New York: Cambridge University Press, pp. 19 (N), 99 (A). "
Vijayanagara,1350-1550 CE,Vijayanagaran Empire,India,300000,400000,350000,2500,5.544068044,3.397940009,140,"Asher, Catherine B, and Cynthia Talbot. 2022. India Before Europe. 2nd ed. New York: Cambridge University Press. p. 94."
Xianyang,350-206 BCE,Qin China,China,600000,700000,650000,4824,5.812913357,3.683407299,135,"Lewis, Mark E. 2007. The Early Chinese Empires: Qin and Han. Cambridge: Harvard University Press, p. 89 (120,000 households and others resettled in Xianyang). Xu, Hong. 2021. Dynamic Interpretation of Early Cities in Ancient China. Singapore: Springer, p. 54 (A)."